Region,Year,Category,Value,Criteria
Americas,2015,Total,78.2,Population covered by at least a 3G mobile network (%)
Arab States,2015,Total,85.4,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2015,Total,92.7,Population covered by at least a 3G mobile network (%)
CIS,2015,Total,71.6,Population covered by at least a 3G mobile network (%)
Europe,2015,Total,98.0,Population covered by at least a 3G mobile network (%)
World,2015,Total,57.1,Population covered by at least a 3G mobile network (%)
Low-income,2015,Total,27.2,Population covered by at least a 3G mobile network (%)
Lower-middle-income,2015,Total,51.1,Population covered by at least a 3G mobile network (%)
Upper-middle-income,2015,Total,70.3,Population covered by at least a 3G mobile network (%)
High-income,2015,Total,81.3,Population covered by at least a 3G mobile network (%)
Least Developed Countries (LDCs),2015,Total,37.4,Population covered by at least a 3G mobile network (%)
Land Locked Developing Countries (LLDCs),2015,Total,34.4,Population covered by at least a 3G mobile network (%)
Small Island Developing States (SIDS),2015,Total,42.2,Population covered by at least a 3G mobile network (%)
Africa,2015,Total,29.7,Population covered by at least a 3G mobile network (%)
Americas,2015,Total,65.1,Population covered by at least a 3G mobile network (%)
Arab States,2015,Total,53.5,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2015,Total,62.9,Population covered by at least a 3G mobile network (%)
CIS,2015,Total,17.6,Population covered by at least a 3G mobile network (%)
Europe,2015,Total,86.3,Population covered by at least a 3G mobile network (%)
World,2015,Total,19.3,Population covered by at least a 3G mobile network (%)
Low-income,2015,Total,0.1,Population covered by at least a 3G mobile network (%)
Lower-middle-income,2015,Total,3.4,Population covered by at least a 3G mobile network (%)
Upper-middle-income,2015,Total,40.7,Population covered by at least a 3G mobile network (%)
High-income,2015,Total,64.4,Population covered by at least a 3G mobile network (%)
Least Developed Countries (LDCs),2015,Total,7.9,Population covered by at least a 3G mobile network (%)
Land Locked Developing Countries (LLDCs),2015,Total,2.3,Population covered by at least a 3G mobile network (%)
Small Island Developing States (SIDS),2015,Total,12.0,Population covered by at least a 3G mobile network (%)
Africa,2015,Total,0.2,Population covered by at least a 3G mobile network (%)
Americas,2015,Total,34.0,Population covered by at least a 3G mobile network (%)
Arab States,2015,Total,1.2,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2015,Total,22.3,Population covered by at least a 3G mobile network (%)
CIS,2015,Total,5.3,Population covered by at least a 3G mobile network (%)
Europe,2015,Total,52.2,Population covered by at least a 3G mobile network (%)
Africa,2016,Total,79.5,Population covered by at least a 3G mobile network (%)
Americas,2016,Total,78.6,Population covered by at least a 3G mobile network (%)
Arab States,2016,Total,86.3,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2016,Total,93.5,Population covered by at least a 3G mobile network (%)
CIS,2016,Total,77.9,Population covered by at least a 3G mobile network (%)
Europe,2016,Total,98.5,Population covered by at least a 3G mobile network (%)
World,2016,Total,68.2,Population covered by at least a 3G mobile network (%)
Low-income,2016,Total,35.6,Population covered by at least a 3G mobile network (%)
Lower-middle-income,2016,Total,65.2,Population covered by at least a 3G mobile network (%)
Upper-middle-income,2016,Total,80.6,Population covered by at least a 3G mobile network (%)
High-income,2016,Total,82.7,Population covered by at least a 3G mobile network (%)
Least Developed Countries (LDCs),2016,Total,48.4,Population covered by at least a 3G mobile network (%)
Land Locked Developing Countries (LLDCs),2016,Total,42.9,Population covered by at least a 3G mobile network (%)
Small Island Developing States (SIDS),2016,Total,46.1,Population covered by at least a 3G mobile network (%)
Africa,2016,Total,37.4,Population covered by at least a 3G mobile network (%)
Americas,2016,Total,69.5,Population covered by at least a 3G mobile network (%)
Arab States,2016,Total,63.3,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2016,Total,76.3,Population covered by at least a 3G mobile network (%)
CIS,2016,Total,26.9,Population covered by at least a 3G mobile network (%)
Europe,2016,Total,92.1,Population covered by at least a 3G mobile network (%)
World,2016,Total,43.2,Population covered by at least a 3G mobile network (%)
Low-income,2016,Total,1.3,Population covered by at least a 3G mobile network (%)
Lower-middle-income,2016,Total,36.5,Population covered by at least a 3G mobile network (%)
Upper-middle-income,2016,Total,62.4,Population covered by at least a 3G mobile network (%)
High-income,2016,Total,70.8,Population covered by at least a 3G mobile network (%)
Least Developed Countries (LDCs),2016,Total,8.9,Population covered by at least a 3G mobile network (%)
Land Locked Developing Countries (LLDCs),2016,Total,4.6,Population covered by at least a 3G mobile network (%)
Small Island Developing States (SIDS),2016,Total,12.9,Population covered by at least a 3G mobile network (%)
Africa,2016,Total,1.8,Population covered by at least a 3G mobile network (%)
Americas,2016,Total,36.9,Population covered by at least a 3G mobile network (%)
Arab States,2016,Total,3.8,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2016,Total,57.2,Population covered by at least a 3G mobile network (%)
CIS,2016,Total,7.9,Population covered by at least a 3G mobile network (%)
Europe,2016,Total,66.4,Population covered by at least a 3G mobile network (%)
Africa,2017,Total,79.4,Population covered by at least a 3G mobile network (%)
Americas,2017,Total,79.5,Population covered by at least a 3G mobile network (%)
Arab States,2017,Total,89.2,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2017,Total,95.5,Population covered by at least a 3G mobile network (%)
CIS,2017,Total,81.1,Population covered by at least a 3G mobile network (%)
Europe,2017,Total,98.7,Population covered by at least a 3G mobile network (%)
World,2017,Total,74.3,Population covered by at least a 3G mobile network (%)
Low-income,2017,Total,40.0,Population covered by at least a 3G mobile network (%)
Lower-middle-income,2017,Total,72.7,Population covered by at least a 3G mobile network (%)
Upper-middle-income,2017,Total,86.5,Population covered by at least a 3G mobile network (%)
High-income,2017,Total,84.0,Population covered by at least a 3G mobile network (%)
Least Developed Countries (LDCs),2017,Total,53.0,Population covered by at least a 3G mobile network (%)
Land Locked Developing Countries (LLDCs),2017,Total,50.2,Population covered by at least a 3G mobile network (%)
Small Island Developing States (SIDS),2017,Total,48.7,Population covered by at least a 3G mobile network (%)
Africa,2017,Total,42.0,Population covered by at least a 3G mobile network (%)
Americas,2017,Total,72.0,Population covered by at least a 3G mobile network (%)
Arab States,2017,Total,71.2,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2017,Total,83.3,Population covered by at least a 3G mobile network (%)
CIS,2017,Total,41.4,Population covered by at least a 3G mobile network (%)
Europe,2017,Total,92.8,Population covered by at least a 3G mobile network (%)
World,2017,Total,57.3,Population covered by at least a 3G mobile network (%)
Low-income,2017,Total,2.6,Population covered by at least a 3G mobile network (%)
Lower-middle-income,2017,Total,56.6,Population covered by at least a 3G mobile network (%)
Upper-middle-income,2017,Total,73.9,Population covered by at least a 3G mobile network (%)
High-income,2017,Total,76.9,Population covered by at least a 3G mobile network (%)
Least Developed Countries (LDCs),2017,Total,10.2,Population covered by at least a 3G mobile network (%)
Land Locked Developing Countries (LLDCs),2017,Total,7.6,Population covered by at least a 3G mobile network (%)
Small Island Developing States (SIDS),2017,Total,26.1,Population covered by at least a 3G mobile network (%)
Africa,2017,Total,3.8,Population covered by at least a 3G mobile network (%)
Americas,2017,Total,39.3,Population covered by at least a 3G mobile network (%)
Arab States,2017,Total,21.2,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2017,Total,76.3,Population covered by at least a 3G mobile network (%)
CIS,2017,Total,12.3,Population covered by at least a 3G mobile network (%)
Europe,2017,Total,77.2,Population covered by at least a 3G mobile network (%)
Africa,2018,Total,81.6,Population covered by at least a 3G mobile network (%)
Americas,2018,Total,79.3,Population covered by at least a 3G mobile network (%)
Arab States,2018,Total,87.9,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2018,Total,95.9,Population covered by at least a 3G mobile network (%)
CIS,2018,Total,81.2,Population covered by at least a 3G mobile network (%)
Europe,2018,Total,98.6,Population covered by at least a 3G mobile network (%)
World,2018,Total,80.1,Population covered by at least a 3G mobile network (%)
Low-income,2018,Total,44.5,Population covered by at least a 3G mobile network (%)
Lower-middle-income,2018,Total,81.0,Population covered by at least a 3G mobile network (%)
Upper-middle-income,2018,Total,90.7,Population covered by at least a 3G mobile network (%)
High-income,2018,Total,84.6,Population covered by at least a 3G mobile network (%)
Least Developed Countries (LDCs),2018,Total,57.6,Population covered by at least a 3G mobile network (%)
Land Locked Developing Countries (LLDCs),2018,Total,54.7,Population covered by at least a 3G mobile network (%)
Small Island Developing States (SIDS),2018,Total,53.0,Population covered by at least a 3G mobile network (%)
Africa,2018,Total,53.1,Population covered by at least a 3G mobile network (%)
Americas,2018,Total,72.5,Population covered by at least a 3G mobile network (%)
Arab States,2018,Total,76.2,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2018,Total,88.9,Population covered by at least a 3G mobile network (%)
CIS,2018,Total,44.5,Population covered by at least a 3G mobile network (%)
Europe,2018,Total,93.3,Population covered by at least a 3G mobile network (%)
World,2018,Total,64.8,Population covered by at least a 3G mobile network (%)
Low-income,2018,Total,3.1,Population covered by at least a 3G mobile network (%)
Lower-middle-income,2018,Total,66.6,Population covered by at least a 3G mobile network (%)
Upper-middle-income,2018,Total,80.5,Population covered by at least a 3G mobile network (%)
High-income,2018,Total,79.9,Population covered by at least a 3G mobile network (%)
Least Developed Countries (LDCs),2018,Total,20.3,Population covered by at least a 3G mobile network (%)
Land Locked Developing Countries (LLDCs),2018,Total,14.1,Population covered by at least a 3G mobile network (%)
Small Island Developing States (SIDS),2018,Total,31.1,Population covered by at least a 3G mobile network (%)
Africa,2018,Total,8.8,Population covered by at least a 3G mobile network (%)
Americas,2018,Total,47.8,Population covered by at least a 3G mobile network (%)
Arab States,2018,Total,39.6,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2018,Total,84.3,Population covered by at least a 3G mobile network (%)
CIS,2018,Total,14.8,Population covered by at least a 3G mobile network (%)
